Task,Baseline,claude-opus-4.6_best,deepseek-v3.2_best,gemini-3.1-pro-preview_best,glm-5_best,gpt-5.4_best,grok-4.20_best,qwen3-coder-next_best,seed-2.0-pro_best,,,,,,,,,,
Aerodynamics_CarAerodynamicsSensing,0.9617,0.9624,0.9632,0.9632,0.9628,0.9627,0.9624,0.9632,0.9624,,,,,,,,,,
Astrodynamics_MannedLunarLanding,4577.437,6027.3126,6079.2455,4674.9462,6839.0331,4712.8648,4577.437,4577.437,4733.0435,,,,,,,,,,
ComputerSystems_MallocLab,28,96,53,48,86,63,57,32,38,,,,,,,,,,
Cryptographic_AES-128,7.5209,11.8617,12.4591,10.2396,7.9669,12.5157,10.8615,5.5501,7.9481,,,,,,,,,,
Cryptographic_SHA-256,9.8274,16.7955,9.718,9.942,15.1655,16.5308,17.2504,9.8475,15.2838,,,,,,,,,,
Cryptographic_SHA3-256,16.0932,17.4003,17.0749,16.2255,17.5778,17.8541,16.0594,16.5292,18.3478,,,,,,,,,,
EnergyStorage_BatteryFastChargingProfile,71.2806,120.8025,111.4518,116.6532,118.7678,103.8929,99.6875,89.8416,115.6882,,,,,,,,,,
EnergyStorage_BatteryFastChargingSPMe,66.1636,71.8225,91.0079,92.3198,78.0896,75.2312,76.4657,79.0273,76.4122,,,,,,,,,,
EngDesign,1.3571,1.3571,21.7143,27,25.5714,27,27,25.5714,27,,,,,,,,,,
InventoryOptimization_disruption_eoqd,0.3642,0.6473,0.6381,0.639,0.6303,0.6398,0.6359,0.6225,0.6321,,,,,,,,,,
InventoryOptimization_finite_horizon_dp,0.3673,0.9596,0.8025,0.7559,0.7965,0.6393,0.8547,0.4413,0.7323,,,,,,,,,,
InventoryOptimization_general_meio,0.1825,0.9929,0.9893,0.9839,0.9165,0.8226,0.9236,0.7819,0.6973,,,,,,,,,,
InventoryOptimization_joint_replenishment,0.3034,0.8822,0.8822,0.8822,0.8822,0.8822,0.8822,0.8821,0.8822,,,,,,,,,,
InventoryOptimization_tree_gsm_safety_stock,0.3813,0.75,0.6606,0.6606,0.6606,0.6606,0.6606,0.6606,0.6606,,,,,,,,,,
JobShop_abz,80.5042,96.1035,88.3614,86.751,88.4924,87.4569,87.6717,85.603,86.672,,,,,,,,,,
