Task,claude-opus-4.6,deepseek-v3.2,gemini-3.1-pro-preview,glm-5,gpt-5.4,gpt-oss-120b,grok-4.20,qwen3-coder-next,seed-2.0-pro,,,,,,,,,,
Aerodynamics_CarAerodynamicsSensing,8,2,2,5,4,6,8,2,8,,,,,,,,,,
Astrodynamics_MannedLunarLanding,4,3,7,1,2,5,8.5,8.5,6,,,,,,,,,,
ComputerSystems_MallocLab,1,4.5,6,2,9,4.5,3,8,7,,,,,,,,,,
Cryptographic_AES-128,4,2,6,7,1,3,5,9,8,,,,,,,,,,
Cryptographic_SHA-256,4,9,7,6,1,2,3,8,5,,,,,,,,,,
Cryptographic_SHA3-256,5,6,8,4,1,2,9,7,3,,,,,,,,,,
EnergyStorage_BatteryFastChargingProfile,2,7,4,3,1,6,8,9,5,,,,,,,,,,
EnergyStorage_BatteryFastChargingSPMe,9,3,2,6,1,4,7,5,8,,,,,,,,,,
EngDesign,9,7,2,4.5,8,6,2,4.5,2,,,,,,,,,,
InventoryOptimization_disruption_eoqd,2,4,3,8,1,5,6,9,7,,,,,,,,,,
InventoryOptimization_finite_horizon_dp,2,4,6,5,1,7,3,9,8,,,,,,,,,,
InventoryOptimization_general_meio,2,3,4,7,1,5,6,8,9,,,,,,,,,,
InventoryOptimization_joint_replenishment,5.5,5.5,5.5,5.5,1.5,1.5,5.5,9,5.5,,,,,,,,,,
InventoryOptimization_tree_gsm_safety_stock,2,6,6,6,1,6,6,6,6,,,,,,,,,,
JobShop_abz,1,4,6,3,2,8,5,9,7,,,,,,,,,,
JobShop_swv,1,8,9,3,2,4,5,6,7,,,,,,,,,,
JobShop_ta,1,7,4,2,3,8,6,5,9,,,,,,,,,,
KernelEngineering_FlashAttention,5,4,3,8,1,6,9,7,2,,,,,,,,,,
KernelEngineering_MLA,3,9,1,5,2,4,7,8,6,,,,,,,,,,
KernelEngineering_TriMul,1,4,7,3,9,6,2,8,5,,,,,,,,,,
Optics_adaptive_fault_tolerant_fusion,5,1,5,5,9,5,5,5,5,,,,,,,,,,
Optics_adaptive_temporal_smooth_control,6,6,6,9,8,2,4,2,2,,,,,,,,,,
Optics_fiber_guardband_spectrum_packing,2.5,8,5,2.5,1,5,5,8,8,,,,,,,,,,
Optics_fiber_mcs_power_scheduling,2,5,6,3.5,1,7.5,7.5,9,3.5,,,,,,,,,,
Optics_fiber_wdm_channel_power_allocation,4,3,9,2,1,8,6,5,7,,,,,,,,,,
Optics_holographic_multifocus_power_ratio,4,3,8,5,1,2,9,6,7,,,,,,,,,,
Optics_holographic_multiplane_focusing,4,2,9,8,1,3,7,5,6,,,,,,,,,,
Optics_phase_dammann_uniform_orders,2,6,3,4,1,5,8,7,9,,,,,,,,,,
Optics_phase_fourier_pattern_holography,2,5,3,4,1,7,6,9,8,,,,,,,,,,
PyPortfolioOpt_robust_mvo_rebalance,2.5,6,9,8,1,2.5,4,5,7,,,,,,,,,,
QuantumComputing_task_01_routing_qftentangled,2,6,8.5,3,1,8.5,4,7,5,,,,,,,,,,
QuantumComputing_task_02_clifford_t_synthesis,8,3.5,3.5,1,6,8,8,3.5,3.5,,,,,,,,,,
QuantumComputing_task_03_cross_target_qaoa,7,2,4.5,3,9,1,6,8,4.5,,,,,,,,,,
ReactionOptimisation_mit_case1_mixed,2.5,4,5,6,1,2.5,9,8,7,,,,,,,,,,
ReactionOptimisation_reizman_suzuki_pareto,3,5,8,2,4,1,9,6,7,,,,,,,,,,
ReactionOptimisation_snar_multiobjective,2,3,5,4,1,7,9,8,6,,,,,,,,,,
Robotics_DynamicObstacleAvoidanceNavigation,1,4,6,3,2,9,7,8,5,,,,,,,,,,
Robotics_PIDTuning,1,7,3,4,6,8,2,9,5,,,,,,,,,,
Robotics_QuadrupedGaitOptimization,7,3,8.5,2,6,1,5,4,8.5,,,,,,,,,,
Robotics_RobotArmCycleTimeOptimization,4,6,2,3,1,6,6,9,8,,,,,,,,,,
Robotics_UAVInspectionCoverageWithWind,8.5,3,8.5,4,7,2,1,5,6,,,,,,,,,,
SingleCellAnalysis_predict_modality,6,6,6,6,1,2,6,6,6,,,,,,,,,,
StructuralOptimization_ISCSO2015,1,2,8,3,9,4,7,6,5,,,,,,,,,,
StructuralOptimization_ISCSO2023,1,7,3,2,9,6,4,8,5,,,,,,,,,,
StructuralOptimization_TopologyOptimization,6,7,4,3,9,1,2,8,5,,,,,,,,,,
SustainableDataCenterControl_hand_written_control,3,5,7,4,8,9,6,1,2,,,,,,,,,,
WirelessChannelSimulation_HighReliableSimulation,2,3,8,6,9,4,7,5,1,,,,,,,,,,
Average,3.6277,4.7553,5.5319,4.3404,3.5426,4.8085,5.8191,6.7128,5.8617,,,,,,,,,,
