Task,Baseline,Opus4.6+abmcts_best,Opus4.6+openevolve_best,Opus4.6+shinkaevolve_best,GPToss+abmcts_best,GPToss+openevolve_best,GPToss+shinkaevolve_best
Aerodynamics_CarAerodynamicsSensing,0.9617,0.9364,0.9624,0.9617,0.9632,0.9625,0.9631
Astrodynamics_MannedLunarLanding,4577.437,6219.5571,6027.3126,,4577.437,5589.881,7270.6884
ComputerSystems_MallocLab,28,28,96,97,48,53,86
Cryptographic_AES-128,8.3389,5.7073,9.1722,20.1904,9.7253,12.1639,14.2455
Cryptographic_SHA-256,11.5954,34.9801,29.0468,25.4553,12.8391,20.4245,20.3664
Cryptographic_SHA3-256,21.149,22.0948,28.9043,22.1223,24.4154,19.5513,21.8496
EnergyStorage_BatteryFastChargingProfile,71.2806,113.535,120.8025,87.5839,105.72,113.2709,97.8587
EnergyStorage_BatteryFastChargingSPMe,66.1636,70.8813,71.8225,66.1636,78.6746,81.3577,81.5817
EngDesign,1.3571,4.2143,41.6429,1.5,1.3571,22.7857,4.2143
InventoryOptimization_disruption_eoqd,0.3642,0.6364,0.6473,0.6296,0.6411,0.6372,0.6372
InventoryOptimization_finite_horizon_dp,0.3673,0.7643,0.9596,0.8737,0.7303,0.7395,0.8143
InventoryOptimization_general_meio,0.1825,0.7107,0.9929,0.9694,0.8815,0.9542,0.8848
InventoryOptimization_joint_replenishment,0.3034,0.8822,0.8822,0.8822,0.882,1,0.8822
InventoryOptimization_tree_gsm_safety_stock,0.3813,0.6606,0.75,0.7,0.6606,0.6606,0.6606
JobShop_abz,80.5042,98.1111,96.1035,96.914,87.9367,86.1538,89.5035
JobShop_swv,81.6325,92.321,89.5494,91.6624,84.7652,86.3069,87.4373
JobShop_ta,78.8,88.7435,90.7435,90.9423,85.7065,83.9922,88.5976
KernelEngineering_FlashAttention,76.1168,534.7169,1214.3751,1199.3947,59.6965,716.6822,1199.4393
KernelEngineering_MLA,0.8676,900.7192,905.3903,848.7619,0.6933,66.7242,67.2606
KernelEngineering_TriMul,47.3514,,,,,62.7905,49.4042
Optics_adaptive_fault_tolerant_fusion,0.3959,0.6398,0.6398,0.6398,0.6399,0.6398,0.6398
Optics_adaptive_temporal_smooth_control,0.3152,0.84,0.8419,0.8402,0.8399,0.8421,0.8417
Optics_fiber_guardband_spectrum_packing,0.3861,0.6567,0.6692,0.6692,0.657,0.6629,0.6629
Optics_fiber_mcs_power_scheduling,0.3297,0.6542,0.6542,0.6491,0.4557,0.4557,0.5549
Optics_fiber_wdm_channel_power_allocation,0.3255,0.6657,0.6675,0.6652,0.6658,0.6628,0.6645
Optics_holographic_multifocus_power_ratio,0.3927,0.5503,0.8072,0.9389,0.7325,0.8686,0.6972
Optics_holographic_multiplane_focusing,0.3302,0.5515,0.6002,0.6562,0.539,0.6757,0.6326
Optics_phase_dammann_uniform_orders,26.8969,99.6834,99.7995,99.4705,98.8847,97.5587,99.8135
Optics_phase_fourier_pattern_holography,32.6457,77.1592,82.1276,84.992,72.8399,74.1263,75.0129
PyPortfolioOpt_robust_mvo_rebalance,32.9804,99.9946,99.9946,99.9946,35.7266,99.9946,61.4022
QuantumComputing_task_01_routing_qftentangled,0.209,3.8125,5.0479,5.9442,3.6522,0.209,0.209
QuantumComputing_task_02_clifford_t_synthesis,1.7134,1.6633,1.6633,1.8033,7.4236,1.6633,1.6633
QuantumComputing_task_03_cross_target_qaoa,2.4149,2.6131,2.613,3.0996,5.2508,5.2598,
ReactionOptimisation_mit_case1_mixed,87.3082,98.6621,98.6621,98.6621,99.7035,98.6621,99.9367
ReactionOptimisation_reizman_suzuki_pareto,63.5202,82.276,82.3427,80.0677,68.4619,100,74.7769
ReactionOptimisation_snar_multiobjective,57.5234,57.5234,87.3657,82.2828,73.7444,74.9518,81.4978
Robotics_DynamicObstacleAvoidanceNavigation,0.0722,0.0853,0.086,0.0857,0.0862,0.0723,0.0861
Robotics_PIDTuning,0.0366,0.1631,0.1632,0.1639,0.1455,0.1454,0.1636
Robotics_QuadrupedGaitOptimization,0.0218,0.0219,0.0219,0.7565,0.0541,,0.2137
Robotics_RobotArmCycleTimeOptimization,0.2922,0.4205,0.4158,0.4337,0.3942,0.3923,0.4256
Robotics_UAVInspectionCoverageWithWind,28.8519,31.8815,28.8519,33.5725,28.8519,43.7417,29.9325
SingleCellAnalysis_predict_modality,0.5467,,,,,,
StructuralOptimization_ISCSO2015,-5401.589,,,,,-1210.9512,
StructuralOptimization_ISCSO2023,-7.78132429046e+07,,,,,-4.80768183844e+07,
StructuralOptimization_TopologyOptimization,-195.9153,,,,,-184.1713,
SustainableDataCenterControl_hand_written_control,8.3329,27.8549,21.5642,29.0617,29.5609,8.3516,30.5964
WirelessChannelSimulation_HighReliableSimulation,249.3257,,,,,241.0418,
