task,model,effort,file,agent_duration_sec,agent_tokens,s1_gate,s1_passed,s2_checks,s2_modules,s2_modules_detail,s2_score,s3_survived,s3_state,s3_score,total_score
build01-libsodium-autotools-to-cmake,claude-opus-5,high,build01__claude-opus-5__high.jsonl,2697.404,23228961,pass,6/6,4699/4720,13/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=241/241@0.07 install=74/74@0.07 symbols=2689/2689@0.06 evidence=228/228@0.06 macros=159/160@0.05 probe=14/14@0.05 headers=146/146@0.05 cmake-package=25/25@0.05 hardening=201/201@0.04 pkgconfig=17/17@0.03 package=20/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-opus-5,low,build01__claude-opus-5__low.jsonl,1583.765,16680288,pass,6/6,4699/4720,13/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=241/241@0.07 install=74/74@0.07 symbols=2689/2689@0.06 evidence=228/228@0.06 macros=159/160@0.05 probe=14/14@0.05 headers=146/146@0.05 cmake-package=25/25@0.05 hardening=201/201@0.04 pkgconfig=17/17@0.03 package=20/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-opus-5,max,build01__claude-opus-5__max.jsonl,4663.571,32075777,pass,6/6,4698/4720,13/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=241/241@0.07 install=74/74@0.07 symbols=2689/2689@0.06 evidence=228/228@0.06 macros=158/160@0.05 probe=14/14@0.05 headers=146/146@0.05 cmake-package=25/25@0.05 hardening=201/201@0.04 pkgconfig=17/17@0.03 package=20/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-opus-5,medium,build01__claude-opus-5__medium.jsonl,3050.402,21261806,pass,6/6,4705/4720,14/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=241/241@0.07 install=74/74@0.07 symbols=2689/2689@0.06 evidence=228/228@0.06 macros=145/160@0.05 probe=14/14@0.05 headers=146/146@0.05 cmake-package=25/25@0.05 hardening=201/201@0.04 pkgconfig=17/17@0.03 package=40/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-opus-5,xhigh,build01__claude-opus-5__xhigh.jsonl,3767.791,28454093,pass,6/6,4699/4720,13/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=241/241@0.07 install=74/74@0.07 symbols=2689/2689@0.06 evidence=228/228@0.06 macros=159/160@0.05 probe=14/14@0.05 headers=146/146@0.05 cmake-package=25/25@0.05 hardening=201/201@0.04 pkgconfig=17/17@0.03 package=20/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-sonnet-5,high,build01__claude-sonnet-5__high.jsonl,5385.084,41449595,pass,6/6,4550/4720,8/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=229/241@0.07 install=74/74@0.07 symbols=2665/2689@0.06 evidence=228/228@0.06 macros=51/160@0.05 probe=12/14@0.05 headers=146/146@0.05 cmake-package=24/25@0.05 hardening=199/201@0.04 pkgconfig=17/17@0.03 package=20/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-sonnet-5,low,build01__claude-sonnet-5__low.jsonl,873.618,10766714,pass,6/6,4563/4720,6/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=70/71@0.07 isa=227/241@0.07 install=74/74@0.07 symbols=2677/2689@0.06 evidence=226/228@0.06 macros=47/160@0.05 probe=11/14@0.05 headers=146/146@0.05 cmake-package=21/25@0.05 hardening=194/201@0.04 pkgconfig=17/17@0.03 package=39/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-sonnet-5,max,build01__claude-sonnet-5__max.jsonl,5225.858,8857311,pass,6/6,4660/4720,9/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=236/241@0.07 install=74/74@0.07 symbols=2684/2689@0.06 evidence=228/228@0.06 macros=116/160@0.05 probe=11/14@0.05 headers=146/146@0.05 cmake-package=25/25@0.05 hardening=199/201@0.04 pkgconfig=16/17@0.03 package=40/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-sonnet-5,medium,build01__claude-sonnet-5__medium.jsonl,2164.015,24732511,pass,6/6,4669/4720,7/15,build=3/3@0.04 corpus=481/481@0.25 ctest=330/330@0.08 configure=70/71@0.07 isa=236/241@0.07 install=74/74@0.07 symbols=2686/2689@0.06 evidence=228/228@0.06 macros=126/160@0.05 probe=13/14@0.05 headers=146/146@0.05 cmake-package=21/25@0.05 hardening=199/201@0.04 pkgconfig=17/17@0.03 package=39/40@0.03,0,,not_run,0,0
build01-libsodium-autotools-to-cmake,claude-sonnet-5,xhigh,build01__claude-sonnet-5__xhigh.jsonl,9270.993,69624967,pass,6/6,4489/4720,8/15,build=3/3@0.04 corpus=320/481@0.25 ctest=330/330@0.08 configure=71/71@0.07 isa=241/241@0.07 install=74/74@0.07 symbols=2663/2689@0.06 evidence=227/228@0.06 macros=124/160@0.05 probe=12/14@0.05 headers=146/146@0.05 cmake-package=21/25@0.05 hardening=200/201@0.04 pkgconfig=17/17@0.03 package=40/40@0.03,0,,not_run,0,0
